Word	P(None)	P(Phenotype)
aneurysm	0.91119	0.08881
trigeminal	1.0	0.0
palate	1.0	0.0
lactobacillus	1.0	0.0
contralateral	0.920647	0.079353
rvh	0.78934	0.21066
avian	1.0	0.0
deep	1.0	0.0
an	0.999995	5e-06
immunoprecipitation	1.0	0.0
examine	1.0	0.0
hypertension	0.1844575	0.8155425
inulin	0.99994	6e-05
laboratory	1.0	0.0
tibial	1.0	0.0
pmol	1.0	0.0
assessing	1.0	0.0
yoga	1.0	0.0
ideally	1.0	0.0
administered	1.0	0.0
ctct	1.0	0.0
hygienists	1.0	0.0
igg	0.99997	3e-05
field	0.8	0.2
valid	1.0	0.0
5	1.0	0.0
iga	0.99997	3e-05
you	1.0	0.0
immunity	0.99994	6e-05
poor	0.932685	0.067315
briefly	1.0	0.0
separate	1.0	0.0
students	1.0	0.0
important	1.0	0.0
peak	0.99994	6e-05
included	1.0	0.0
unresponsive	1.0	0.0
insertions	1.0	0.0
bilateral	0.40599	0.59401
mimic	1.0	0.0
inhibited	1.0	0.0
mass	0.00097	0.99903
electrophoretypes	1.0	0.0
sensibility	0.99994	6e-05
oral	1.0	0.0
original	1.0	0.0
represent	1.0	0.0
all	1.0	0.0
chinese	1.0	0.0
surgical	1.0	0.0
systemic	0.672235	0.327765
varices	0.00452	0.99548
follow	1.0	0.0
meditation	1.0	0.0
children	1.0	0.0
polarity	1.0	0.0
to	0.977515777778	0.0224842222222
program	1.0	0.0
28100	1.0	0.0
dominated	1.0	0.0
nodes	0.333333333333	0.666666666667
cytokinesis	1.0	0.0
endogenous	1.0	0.0
cdna	1.0	0.0
conus	1.0	0.0
activities	1.0	0.0
very	1.0	0.0
apoptosis	1.0	0.0
fat	0.99994	6e-05
parry	1.0	0.0
vera	1.0	0.0
interpreting	1.0	0.0
candida	0.86537	0.13463
salmonella	1.0	0.0
difference	0.99994	6e-05
capillary	1.0	0.0
condition	0.998493333333	0.00150666666667
motor	0.99903	0.00097
induced	1.0	0.0
neurocutaneous	0.99994	6e-05
deficient	0.99997	3e-05
list	1.0	0.0
applicable	1.0	0.0
large	0.991416	0.008584
glaucomatous	0.95902	0.04098
small	1.0	0.0
reimplantation	1.0	0.0
pyrroline	1.0	0.0
198	1.0	0.0
ten	1.0	0.0
cerebrovascular	1.0	0.0
headspace	1.0	0.0
rate	0.99994	6e-05
design	1.0	0.0
perspective	1.0	0.0
functioning	0.98634	0.01366
abe	1.0	0.0
palatal	1.0	0.0
lactamase	1.0	0.0
emotions	1.0	0.0
endothelin	1.0	0.0
excitatory	1.0	0.0
learned	1.0	0.0
electrocerebral	0.99994	6e-05
method	1.0	0.0
contrast	0.99998	2e-05
movement	0.99994	6e-05
diffusely	1.0	0.0
component	1.0	0.0
hours	1.0	0.0
relaxation	0.99994	6e-05
multiforme	0.15816	0.84184
cirrhosis	0.78934	0.21066
900	1.0	0.0
thymidine	1.0	0.0
experience	1.0	0.0
prior	1.0	0.0
infrequently	1.0	0.0
base	1.0	0.0
pick	1.0	0.0
narrow	1.0	0.0
via	1.0	0.0
vasopressin	0.2934	0.7066
extrapleural	0.73551	0.26449
select	1.0	0.0
hemiparesis	0.15816	0.84184
two	1.0	0.0
yilmaz	1.0	0.0
6	1.0	0.0
injury	0.99548	0.00452
minor	0.15816	0.84184
more	1.0	0.0
volatiles	1.0	0.0
site	1.0	0.0
tested	1.0	0.0
immunoreactive	1.0	0.0
known	1.0	0.0
producing	1.0	0.0
commercially	1.0	0.0
none	1.0	0.0
toxins	1.0	0.0
recall	0.97951	0.02049
remain	1.0	0.0
depleting	1.0	0.0
strategies	1.0	0.0
male	0.999974285714	2.57142857143e-05
tunicamycin	1.0	0.0
history	1.0	0.0
scan	1.0	0.0
osteosarcoma	1.0	0.0
suggestions	1.0	0.0
scar	1.0	0.0
species	0.932685	0.067315
axis	0.99994	6e-05
information	1.0	0.0
drained	1.0	0.0
breaking	1.0	0.0
american	1.0	0.0
occasionally	1.0	0.0
hexanal	1.0	0.0
bifidobacterium	1.0	0.0
tried	1.0	0.0
thickened	0.84184	0.15816
derived	1.0	0.0
reflect	1.0	0.0
consequence	1.0	0.0
blood	0.999957142857	4.28571428571e-05
plana	1.0	0.0
evaluations	1.0	0.0
response	1.0	0.0
a	0.999722702703	0.000277297297297
short	1.0	0.0
causation	1.0	0.0
exhibited	1.0	0.0
sonograms	1.0	0.0
playing	0.99994	6e-05
infant	1.0	0.0
sphingomyelin	1.0	0.0
developed	1.0	0.0
oblique	1.0	0.0
mucosa	1.0	0.0
held	1.0	0.0
paper	1.0	0.0
through	0.999985	1.5e-05
existence	1.0	0.0
its	0.999991428571	8.57142857143e-06
24	1.0	0.0
25	1.0	0.0
27	1.0	0.0
20	1.0	0.0
21	1.0	0.0
22	1.0	0.0
susceptible	1.0	0.0
lateral	0.997938333333	0.00206166666667
nonviable	1.0	0.0
neuropsychological	6e-05	0.99994
symptoms	1.0	0.0
absence	1.0	0.0
microscopic	1.0	0.0
disclosed	1.0	0.0
pca	1.0	0.0
might	1.0	0.0
finer	1.0	0.0
good	1.0	0.0
food	1.0	0.0
primary	0.958232222222	0.0417677777778
framework	1.0	0.0
walls	1.0	0.0
sphincter	1.0	0.0
mansoni	1.0	0.0
foot	1.0	0.0
retroperitoneal	1.0	0.0
association	1.0	0.0
level	0.99994	6e-05
obstetric	1.0	0.0
radial	1.0	0.0
found	1.0	0.0
out	1.0	0.0
referred	1.0	0.0
reactions	0.99994	6e-05
eqtii	1.0	0.0
generation	0.99994	6e-05
reduce	1.0	0.0
investigated	1.0	0.0
chorioangiomas	0.99548	0.00452
measurement	1.0	0.0
penicillin	1.0	0.0
alcohol	1.0	0.0
item	1.0	0.0
since	1.0	0.0
health	1.0	0.0
inactivated	0.99998	2e-05
7	1.0	0.0
dysfunction	0.13463	0.86537
evaluation	1.0	0.0
occurs	1.0	0.0
pneumothorax	0.15816	0.84184
extraordinary	1.0	0.0
pitfalls	1.0	0.0
imaging	1.0	0.0
stomach	0.99994	6e-05
generate	1.0	0.0
schistosomiasis	1.0	0.0
diffused	1.0	0.0
benefits	1.0	0.0
running	1.0	0.0
brainstem	0.999515	0.000485
conducted	1.0	0.0
yersinia	1.0	0.0
hodgkin	1.0	0.0
major	1.0	0.0
explainable	1.0	0.0
probability	1.0	0.0
radical	1.0	0.0
thereafter	1.0	0.0
number	1.0	0.0
enlarged	0.0	1.0
hardening	1.0	0.0
defects	0.0	1.0
tlr4	1.0	0.0
hemihyperhidrosis	0.15816	0.84184
unexplained	1.0	0.0
temperature	0.99994	6e-05
leading	1.0	0.0
threatening	1.0	0.0
plexus	1.0	0.0
majority	1.0	0.0
hundred	1.0	0.0
recovered	1.0	0.0
conduit	1.0	0.0
para	0.99994	6e-05
needle	1.0	0.0
immediate	0.99994	6e-05
part	1.0	0.0
cartridges	1.0	0.0
authors	1.0	0.0
b	0.99998	2e-05
double	1.0	0.0
ranging	1.0	0.0
recording	1.0	0.0
determined	1.0	0.0
risks	1.0	0.0
treated	1.0	0.0
livers	1.0	0.0
trimoxazole	1.0	0.0
defect	0.78934	0.21066
precipitating	1.0	0.0
sentences	0.99994	6e-05
concentration	1.0	0.0
fetalis	0.13463	0.86537
relationship	1.0	0.0
cava	0.99994	6e-05
onset	0.99994	6e-05
also	1.0	0.0
recognizing	1.0	0.0
internal	1.0	0.0
generalized	0.99771	0.00229
finding	1.0	0.0
donor	1.0	0.0
stenosis	0.59401	0.40599
toxoids	0.99994	6e-05
abruption	0.09493	0.90507
province	1.0	0.0
play	1.0	0.0
caliber	1.0	0.0
electric	0.99994	6e-05
bands	1.0	0.0
most	1.0	0.0
74	1.0	0.0
71	1.0	0.0
70	1.0	0.0
alpha	0.99998	2e-05
measured	1.0	0.0
prostatic	1.0	0.0
traditional	1.0	0.0
phytohemagglutinin	1.0	0.0
pars	1.0	0.0
chorioamnionitis	0.09493	0.90507
thomas	1.0	0.0
islets	1.0	0.0
disturbances	0.84184	0.15816
cauda	1.0	0.0
session	1.0	0.0
malignant	0.458636666667	0.541363333333
velvety	0.84184	0.15816
murate	1.0	0.0
fine	1.0	0.0
venosus	0.99903	0.00097
access	1.0	0.0
giant	0.99903	0.00097
parameters	0.99994	6e-05
heavily	1.0	0.0
hypoattenuation	0.99994	6e-05
factor	1.0	0.0
8	1.0	0.0
hip	0.99887	0.00113
intractable	1.0	0.0
biopsy	1.0	0.0
haemostatic	0.253864	0.746136
capsule	1.0	0.0
breast	0.98769	0.01231
during	0.99999	1e-05
campylobacter	1.0	0.0
inducible	1.0	0.0
distraction	1.0	0.0
progressive	0.99704	0.00296
sources	1.0	0.0
tumors	0.710896666667	0.289103333333
acellular	0.99994	6e-05
common	1.0	0.0
recommendations	1.0	0.0
scanning	1.0	0.0
set	1.0	0.0
art	1.0	0.0
aspect	1.0	0.0
achieved	1.0	0.0
pcdna3	1.0	0.0
potent	1.0	0.0
antiproliferative	1.0	0.0
schizophrenic	1.0	0.0
sec	1.0	0.0
are	0.999964074074	3.59259259259e-05
close	1.0	0.0
polymorphic	1.0	0.0
thrombocytopenia	6e-05	0.99994
matter	0.86537	0.13463
macroscopic	0.99994	6e-05
various	1.0	0.0
vascular	0.999676666667	0.000323333333333
conditions	1.0	0.0
available	1.0	0.0
recently	1.0	0.0
responses	0.99994	6e-05
targeted	1.0	0.0
rapid	1.0	0.0
rarer	1.0	0.0
both	0.999985	1.5e-05
c	0.999722857143	0.000277142857143
last	1.0	0.0
density	0.86537	0.13463
sensitive	0.99373	0.00627
connection	1.0	0.0
whole	0.999955	4.5e-05
pda	0.7066	0.2934
cakes	1.0	0.0
point	1.0	0.0
reasons	1.0	0.0
sky	0.95902	0.04098
factitious	6e-05	0.99994
manners	1.0	0.0
hyperfiltration	0.95902	0.04098
adaptation	1.0	0.0
fibres	1.0	0.0
thermophilus	1.0	0.0
throughout	1.0	0.0
[	0.99903	0.00097
described	1.0	0.0
create	1.0	0.0
due	0.99997	3e-05
strategy	1.0	0.0
whom	1.0	0.0
reduction	1.0	0.0
dropping	0.95902	0.04098
secific	1.0	0.0
collected	1.0	0.0
nephrectomy	1.0	0.0
resting	1.0	0.0
bulgaricus	1.0	0.0
recalled	0.99994	6e-05
compromised	1.0	0.0
postglomerular	0.99994	6e-05
plasmas	1.0	0.0
extracted	1.0	0.0
p1	0.99994	6e-05
straight	0.98769	0.01231
tip	0.99994	6e-05
evaluated	1.0	0.0
precursor	1.0	0.0
while	1.0	0.0
replaced	1.0	0.0
ciliary	1.0	0.0
binding	1.0	0.0
occlusive	1.0	0.0
rim	0.99997	3e-05
urethra	1.0	0.0
twofold	1.0	0.0
cancers	0.99903	0.00097
elevated	0.98974	0.01026
shorter	1.0	0.0
benign	0.99903	0.00097
deletion	1.0	0.0
9	1.0	0.0
products	1.0	0.0
higher	1.0	0.0
development	1.0	0.0
used	1.0	0.0
temporary	1.0	0.0
painless	0.98769	0.01231
usually	1.0	0.0
001	1.0	0.0
000	1.0	0.0
purpose	1.0	0.0
mesothelioma	1.0	0.0
immunofluorescence	1.0	0.0
focal	0.0449166666667	0.955083333333
recent	1.0	0.0
lower	0.764446666667	0.235553333333
isotype	0.99997	3e-05
transcatheter	1.0	0.0
analysis	1.0	0.0
entry	1.0	0.0
ultrasound	1.0	0.0
prevention	1.0	0.0
breastfeeding	1.0	0.0
intrarenal	1.0	0.0
abilities	1.0	0.0
hypothesized	1.0	0.0
reviewed	1.0	0.0
atomic	1.0	0.0
questions	0.999985	1.5e-05
hemolytic	0.78934	0.21066
alternative	1.0	0.0
constrictor	1.0	0.0
injuries	0.872436666667	0.127563333333
globin	1.0	0.0
superficial	1.0	0.0
illusions	0.95902	0.04098
conclusions	1.0	0.0
lysenin	1.0	0.0
exclusively	1.0	0.0
signals	1.0	0.0
location	0.99994	6e-05
relevance	1.0	0.0
associations	1.0	0.0
australia	1.0	0.0
emergency	1.0	0.0
evaluate	1.0	0.0
interestingly	1.0	0.0
consensus	1.0	0.0
individuals	1.0	0.0
yields	1.0	0.0
eeg	0.999978181818	2.18181818182e-05
disorder	0.999515	0.000485
essential	1.0	0.0
valleys	1.0	0.0
methods	1.0	0.0
some	1.0	0.0
electroencephalogram	1.0	0.0
towards	1.0	0.0
echocardiographical	1.0	0.0
pronounced	1.0	0.0
gradually	1.0	0.0
scale	1.0	0.0
glycosylation	1.0	0.0
pet	1.0	0.0
decision	1.0	0.0
measurements	1.0	0.0
venereum	1.0	0.0
per	1.0	0.0
retro	1.0	0.0
scalp	1.0	0.0
be	1.0	0.0
patient	1.0	0.0
enterocolitica	1.0	0.0
300	1.0	0.0
processing	0.999806	0.000194
step	1.0	0.0
bp	1.0	0.0
cefaclor	1.0	0.0
relating	1.0	0.0
by	0.995357586207	0.0046424137931
vaccine	0.99994	6e-05
graft	1.0	0.0
glaucoma	0.999515	0.000485
""""	1.0	0.0
graduation	1.0	0.0
leukaemia	1.0	0.0
unintentional	1.0	0.0
range	1.0	0.0
chorioangioma	0.99548	0.00452
therapeutic	1.0	0.0
silence	0.99994	6e-05
anterior	1.0	0.0
repair	1.0	0.0
significant	1.0	0.0
abusive	0.998493333333	0.00150666666667
within	1.0	0.0
parton	1.0	0.0
contributor	1.0	0.0
thrombophilias	6e-05	0.99994
subcellular	1.0	0.0
eegs	1.0	0.0
long	1.0	0.0
tcac	1.0	0.0
infected	1.0	0.0
myoclonus	0.78934	0.21066
albumin	0.99996	4e-05
registered	1.0	0.0
polio	0.99994	6e-05
reiterated	1.0	0.0
quiescent	1.0	0.0
injection	1.0	0.0
intestines	1.0	0.0
rejection	1.0	0.0
skull	1.0	0.0
rnas	1.0	0.0
up	1.0	0.0
rnai	1.0	0.0
horner	1.0	0.0
highlight	1.0	0.0
similar	1.0	0.0
storing	1.0	0.0
associated	1.0	0.0
adults	1.0	0.0
lys	1.0	0.0
m	1.0	0.0
tomography	1.0	0.0
as	1.0	0.0
hemodynamic	1.0	0.0
amounts	0.99994	6e-05
entity	1.0	0.0
application	1.0	0.0
branhamella	1.0	0.0
department	1.0	0.0
users	1.0	0.0
developmental	0.641323333333	0.358676666667
endocrine	0.999485	0.000515
calcifications	0.0	1.0
prepared	1.0	0.0
glomerular	0.877375	0.122625
generated	0.9997575	0.0002425
allowing	1.0	0.0
suppression	1.0	0.0
fossa	0.99997	3e-05
structure	1.0	0.0
lymphoma	0.999676666667	0.000323333333333
correlated	1.0	0.0
e	1.0	0.0
valved	1.0	0.0
age	1.0	0.0
required	1.0	0.0
syringomyelia	6e-05	0.99994
presenting	1.0	0.0
at	1.0	0.0
requires	1.0	0.0
having	1.0	0.0
partial	1.0	0.0
tetralogy	1.0	0.0
illustrates	1.0	0.0
results	1.0	0.0
gg	1.0	0.0
gc	1.0	0.0
ga	0.99994	6e-05
tumours	0.15816	0.84184
rigidity	0.99548	0.00452
hepatosplenic	1.0	0.0
monomer	1.0	0.0
haemophillus	0.99994	6e-05
stably	1.0	0.0
young	1.0	0.0
radiological	1.0	0.0
stable	1.0	0.0
include	1.0	0.0
random	1.0	0.0
assay	1.0	0.0
iliac	0.99903	0.00097
periorbital	1.0	0.0
wave	0.99994	6e-05
inhibiting	1.0	0.0
electron	1.0	0.0
matsuda	1.0	0.0
promise	1.0	0.0
artery	0.682145	0.317855
continued	1.0	0.0
targeting	1.0	0.0
shock	0.99994	6e-05
fewer	0.99994	6e-05
noted	1.0	0.0
hullin	1.0	0.0
smaller	1.0	0.0
bleeding	3e-05	0.99997
antigen	0.994111428571	0.00588857142857
sensation	0.667465	0.332535
fold	1.0	0.0
acid	0.99994	6e-05
depression	0.00452	0.99548
plays	1.0	0.0
apparatus	1.0	0.0
methylpyrazine	1.0	0.0
hereditary	1.0	0.0
cell	0.999907619048	9.2380952381e-05
evoked	0.99996	4e-05
indian	1.0	0.0
volatile	1.0	0.0
sixth	1.0	0.0
;	1.0	0.0
exercise	1.0	0.0
rhamnosus	1.0	0.0
body	0.95902	0.04098
proliferation	1.0	0.0
led	1.0	0.0
degree	1.0	0.0
respectively	1.0	0.0
sutures	1.0	0.0
catheterization	1.0	0.0
preeclampsia	0.09493	0.90507
38	1.0	0.0
respiration	0.99994	6e-05
cts	1.0	0.0
32	1.0	0.0
30	1.0	0.0
suggests	1.0	0.0
preferentially	1.0	0.0
resulting	1.0	0.0
gene	1.0	0.0
untranslated	1.0	0.0
outcomes	1.0	0.0
anomalies	0.6309	0.3691
clockwise	0.99994	6e-05
apd	0.99903	0.00097
standing	0.98634	0.01366
use	1.0	0.0
from	1.0	0.0
remains	1.0	0.0
few	1.0	0.0
doubt	1.0	0.0
examination	1.0	0.0
secretions	1.0	0.0
on	0.999996666667	3.33333333333e-06
trait	0.991793333333	0.00820666666667
congestive	6e-05	0.99994
infection	6e-05	0.99994
methylbutanal	1.0	0.0
transient	0.999676666667	0.000323333333333
normalized	1.0	0.0
rabbit	1.0	0.0
nonreactive	0.99994	6e-05
baby	1.0	0.0
resection	0.99112	0.00888
practicing	1.0	0.0
f	1.0	0.0
this	0.999998125	1.875e-06
taguchi	1.0	0.0
urethral	0.99548	0.00452
crossed	1.0	0.0
metastases	0.7066	0.2934
control	1.0	0.0
do	1.0	0.0
hyperpigmented	0.26449	0.73551
high	0.999982857143	1.71428571429e-05
pulling	1.0	0.0
bones	1.0	0.0
tumor	0.6175275	0.3824725
syndrome	1.0	0.0
scarring	0.99994	6e-05
africans	1.0	0.0
occipital	1.0	0.0
delay	1.0	0.0
venous	1.0	0.0
palates	1.0	0.0
lesion	0.65553	0.34447
leukemia	1.0	0.0
collection	0.99994	6e-05
abuse	0.99548	0.00452
fatigue	0.13463	0.86537
demonstrating	1.0	0.0
marrow	0.99994	6e-05
yielded	1.0	0.0
prostate	0.9866625	0.0133375
monoxide	1.0	0.0
ambiguous	1.0	0.0
volunteers	1.0	0.0
six	1.0	0.0
produces	1.0	0.0
phalanges	0.62409	0.37591
sydenham	1.0	0.0
including	1.0	0.0
138	1.0	0.0
operative	1.0	0.0
superior	1.0	0.0
longitudinal	0.99998	2e-05
labor	0.09493	0.90507
thrombocythemia	0.99548	0.00452
permanent	1.0	0.0
covered	1.0	0.0
histological	1.0	0.0
2010	1.0	0.0
2012	1.0	0.0
physicians	1.0	0.0
greater	1.0	0.0
frontal	0.50223	0.49777
outlined	1.0	0.0
practice	1.0	0.0
fallot	1.0	0.0
cystostomy	1.0	0.0
p17	1.0	0.0
front	1.0	0.0
rotation	0.99994	6e-05
mmhg	1.0	0.0
furnace	1.0	0.0
profound	1.0	0.0
university	1.0	0.0
countries	1.0	0.0
identified	1.0	0.0
sufficiently	1.0	0.0
bicuspid	0.99112	0.00888
experienced	1.0	0.0
homogeneous	1.0	0.0
micrograms	1.0	0.0
radiographic	1.0	0.0
related	0.99997	3e-05
frequency	0.99997	3e-05
nondeletional	1.0	0.0
measure	1.0	0.0
82	1.0	0.0
83	1.0	0.0
85	1.0	0.0
category	1.0	0.0
'	1.0	0.0
cerebral	0.784788333333	0.215211666667
valve	0.99408	0.00592
electronics	1.0	0.0
cause	1.0	0.0
red	1.0	0.0
pathophysiological	1.0	0.0
immunohistochemistry	1.0	0.0
activity	0.999985882353	1.41176470588e-05
approaches	1.0	0.0
usual	1.0	0.0
regulatory	1.0	0.0
interaction	1.0	0.0
g	1.0	0.0
could	1.0	0.0
times	1.0	0.0
length	1.0	0.0
electroencephalographic	1.0	0.0
derivations	1.0	0.0
facilitate	1.0	0.0
south	1.0	0.0
arterial	0.89241	0.10759
widely	1.0	0.0
itching	0.37591	0.62409
saci	1.0	0.0
threadwire	1.0	0.0
improving	1.0	0.0
placental	0.7703425	0.2296575
calcaneum	1.0	0.0
reached	1.0	0.0
quality	1.0	0.0
endemic	1.0	0.0
promoter	1.0	0.0
management	1.0	0.0
publication	1.0	0.0
data	1.0	0.0
sep	1.0	0.0
system	1.0	0.0
relations	1.0	0.0
their	1.0	0.0
basilar	0.99112	0.00888
wrapped	0.99994	6e-05
chemotherapy	1.0	0.0
final	1.0	0.0
circulate	1.0	0.0
staphylococci	1.0	0.0
academy	1.0	0.0
completed	1.0	0.0
environmental	1.0	0.0
manifestation	1.0	0.0
lobe	0.2934	0.7066
congenital	1.0	0.0
observed	1.0	0.0
ureteral	1.0	0.0
isolation	1.0	0.0
aspiration	1.0	0.0
hemiplegia	1.0	0.0
patients	0.999991666667	8.33333333333e-06
amplitude	0.99994	6e-05
pertussis	0.90507	0.09493
descriptions	1.0	0.0
postanoxic	0.78934	0.21066
methicillin	1.0	0.0
delineated	1.0	0.0
have	1.0	0.0
need	1.0	0.0
demonstration	1.0	0.0
clearly	1.0	0.0
angle	1.0	0.0
57	1.0	0.0
min	0.99997	3e-05
caval	0.99997	3e-05
screen	1.0	0.0
able	1.0	0.0
septal	0.78934	0.21066
alterna	1.0	0.0
which	1.0	0.0
intraclass	1.0	0.0
persistence	1.0	0.0
accuracy	1.0	0.0
firefly	1.0	0.0
who	1.0	0.0
connected	0.99994	6e-05
cloned	1.0	0.0
intrinsic	0.99994	6e-05
dorsal	1.0	0.0
volume	0.99997	3e-05
reapproximation	1.0	0.0
placement	1.0	0.0
inappropriate	1.0	0.0
hydrocephalus	6e-05	0.99994
disease	1.0	0.0
face	1.0	0.0
isotypes	0.99997	3e-05
mechanical	1.0	0.0
impression	0.99112	0.00888
selection	1.0	0.0
deviation	1.0	0.0
answered	0.99994	6e-05
supported	1.0	0.0
rotating	1.0	0.0
fear	1.0	0.0
principal	1.0	0.0
antiserum	1.0	0.0
based	1.0	0.0
knowledge	1.0	0.0
mucinosis	0.99903	0.00097
noteworthy	1.0	0.0
subperiosteal	0.9992725	0.0007275
controls	1.0	0.0
should	1.0	0.0
terminal	1.0	0.0
unheated	1.0	0.0
inferior	0.99996	4e-05
peptide	1.0	0.0
hindiii	1.0	0.0
epidermoid	1.0	0.0
likert	1.0	0.0
biosynthetic	1.0	0.0
pathophysiology	1.0	0.0
joint	1.0	0.0
datasets	1.0	0.0
words	0.99994	6e-05
sinus	0.99903	0.00097
procedures	1.0	0.0
areas	0.955123333333	0.0448766666667
processes	1.0	0.0
course	1.0	0.0
h	1.0	0.0
nosography	1.0	0.0
thalamic	1.0	0.0
qi	0.99994	6e-05
levoatrial	0.901553333333	0.0984466666667
computed	1.0	0.0
national	1.0	0.0
correlations	1.0	0.0
we	1.0	0.0
freeze	1.0	0.0
p24	1.0	0.0
p27	1.0	0.0
p21	1.0	0.0
enhanced	0.99994	6e-05
electrode	1.0	0.0
creating	1.0	0.0
pattern	0.999955	4.5e-05
distractor	1.0	0.0
state	1.0	0.0
difficulties	1.0	0.0
identification	1.0	0.0
correctly	0.99994	6e-05
membrane	0.997585882353	0.00241411764706
antituberculous	1.0	0.0
kidneys	0.99997	3e-05
comparable	1.0	0.0
importance	1.0	0.0
streptococci	1.0	0.0
renovascular	0.78934	0.21066
neonatal	1.0	0.0
efficiency	1.0	0.0
preglomerular	0.99994	6e-05
key	1.0	0.0
problem	1.0	0.0
deficits	6e-05	0.99994
drug	1.0	0.0
subthalamic	1.0	0.0
strains	1.0	0.0
transplantation	1.0	0.0
estimation	1.0	0.0
sequenced	1.0	0.0
inflammatory	0.99548	0.00452
co	1.0	0.0
cm	1.0	0.0
colonisation	0.86537	0.13463
doxycycline	1.0	0.0
vena	0.99996	4e-05
pulmonary	0.69827	0.30173
ct	1.0	0.0
asphyxia	6e-05	0.99994
addition	1.0	0.0
validating	1.0	0.0
genetic	0.99112	0.00888
outflow	0.99994	6e-05
treat	1.0	0.0
enlarging	0.2934	0.7066
anomaly	1.0	0.0
define	1.0	0.0
describe	1.0	0.0
controlled	1.0	0.0
dimethylpyrazine	1.0	0.0
sufficient	1.0	0.0
clusters	1.0	0.0
granulomatous	0.99994	6e-05
gross	0.98769	0.01231
general	1.0	0.0
present	1.0	0.0
novel	1.0	0.0
appearance	1.0	0.0
sphingolipidosis	0.99903	0.00097
value	1.0	0.0
plicata	1.0	0.0
will	1.0	0.0
extracts	1.0	0.0
periods	1.0	0.0
mutant	1.0	0.0
molecular	1.0	0.0
thus	1.0	0.0
surprisingly	1.0	0.0
surface	1.0	0.0
monospecific	1.0	0.0
recipients	1.0	0.0
cross	1.0	0.0
parts	1.0	0.0
infarction	0.753448333333	0.246551666667
difficult	1.0	0.0
intravascular	0.98769	0.01231
anterolateral	1.0	0.0
frequently	1.0	0.0
judgment	1.0	0.0
diabetes	1.0	0.0
polymorphism	1.0	0.0
off	0.95902	0.04098
p11	1.0	0.0
i	1.0	0.0
well	1.0	0.0
patterns	1.0	0.0
tenax	1.0	0.0
diphtheria	0.99994	6e-05
comparisons	1.0	0.0
fetal	0.463988333333	0.536011666667
orthopaedic	0.999096	0.000904
increasingly	1.0	0.0
not	0.999995384615	4.61538461538e-06
sarcoidosis	0.99903	0.00097
purified	1.0	0.0
ampicillin	1.0	0.0
conjugates	1.0	0.0
tight	1.0	0.0
absorption	1.0	0.0
ureteroureterostomy	1.0	0.0
ectopic	1.0	0.0
golgi	1.0	0.0
arrest	0.92978	0.07022
c18	1.0	0.0
attractive	1.0	0.0
stakeholders	1.0	0.0
resolved	1.0	0.0
tests	1.0	0.0
cuneiform	1.0	0.0
increased	0.99994	6e-05
furfural	1.0	0.0
five	1.0	0.0
facial	0.84513	0.15487
sequencing	1.0	0.0
loss	6e-05	0.99994
necessary	1.0	0.0
like	0.668173333333	0.331826666667
admitted	1.0	0.0
become	1.0	0.0
lymphogranuloma	1.0	0.0
replacement	1.0	0.0
polyhydramnios	0.09493	0.90507
because	1.0	0.0
sequence	1.0	0.0
phenomena	0.999515	0.000485
library	1.0	0.0
growth	0.750015	0.249985
sphingolipid	1.0	0.0
choosing	1.0	0.0
recommendation	1.0	0.0
supportive	1.0	0.0
recognition	1.0	0.0
lead	0.999965714286	3.42857142857e-05
broad	0.99994	6e-05
bursts	0.99994	6e-05
mutation	1.0	0.0
octen	1.0	0.0
demonstrated	1.0	0.0
noise	1.0	0.0
lipid	1.0	0.0
analysed	1.0	0.0
paediatric	1.0	0.0
pressure	0.99996	4e-05
although	1.0	0.0
fluorescent	1.0	0.0
p31	1.0	0.0
stage	0.84184	0.15816
gained	1.0	0.0
about	1.0	0.0
rare	1.0	0.0
carried	1.0	0.0
hydrops	0.11478	0.88522
myeloid	1.0	0.0
previously	1.0	0.0
homogenates	1.0	0.0
assess	1.0	0.0
chronic	0.94616	0.05384
lung	0.833495	0.166505
female	0.999976	2.4e-05
1986	1.0	0.0
terminated	1.0	0.0
additional	1.0	0.0
adolescent	1.0	0.0
1988	1.0	0.0
1989	1.0	0.0
polycythemia	0.52049	0.47951
describes	1.0	0.0
rcc	0.99903	0.00097
function	0.999964	3.6e-05
urothelial	0.99903	0.00097
stomatitis	0.62409	0.37591
north	1.0	0.0
hr	1.0	0.0
but	1.0	0.0
intracranial	1.0	0.0
immunologically	1.0	0.0
repeated	1.0	0.0
lowered	0.99994	6e-05
clinically	1.0	0.0
hf	0.9999775	2.25e-05
made	1.0	0.0
acetyl	1.0	0.0
whether	1.0	0.0
cells	0.999995384615	4.61538461538e-06
variations	1.0	0.0
ligamentous	1.0	0.0
graphite	1.0	0.0
infants	1.0	0.0
demonstrate	1.0	0.0
distribution	1.0	0.0
spectrometry	1.0	0.0
minutes	1.0	0.0
recognize	1.0	0.0
tissues	0.99548	0.00452
slowing	1.0	0.0
persistent	1.0	0.0
disinhibition	1.0	0.0
lobes	0.932685	0.067315
epithelial	1.0	0.0
hematological	0.9277225	0.0722775
suprapubic	1.0	0.0
compared	1.0	0.0
variety	1.0	0.0
42	1.0	0.0
43	1.0	0.0
40	1.0	0.0
other	1.0	0.0
hematuria	0.0	1.0
conclusion	1.0	0.0
traumatic	0.99548	0.00452
hageman	1.0	0.0
enlargement	0.95902	0.04098
